bin_index,events,expected_events,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,used_reconstructed_kinematics,n_injections,avg_X,avg_Q,avg_Q2,avg_Z,avg_PhPerp,avg_Y,exp_lumi [nb^-1],mc_lumi [nb^-1],injected_asymmetry,reconstructed_asymmetry,reconstructed_asymmetry_montecarlo_stderr,reconstructed_asymmetry_err
0,8203,331463985,0.000269,0.000542,0,1000,-99999,99999,-99999,99999,True,1000,0.00043060588541152315,1.0599848728604262,1.134642422064615,0.18694057256519614,0.48436732080457745,0.6668096833395102,51300000,3232.1923478386066,0.0,0.000478409912662251,0.03792962631665101,0.0004187860515605645
1,11216,452463104,0.000542,0.000821,0,1000,-99999,99999,-99999,99999,True,1000,0.000680457692098868,1.185232012079843,1.4334382507503365,0.19194715688206357,0.4866121890008754,0.5308434816149927,51300000,3232.1923478386066,0.0,-0.0011591257905755477,0.024908939812094345,0.00023519941810509193
2,11485,463628828,0.000821,0.001137,0,1000,-99999,99999,-99999,99999,True,1000,0.0009745241817412307,1.2669180035780463,1.6622533268290713,0.19477734871153018,0.5015144222532321,0.4284850777740157,51300000,3232.1923478386066,1.670000000000147e-06,0.0005126980004360246,0.022974586446807416,0.00021437898128965924
3,11801,474075019,0.001137,0.001489,0,1000,-99999,99999,-99999,99999,True,1000,0.0013108867425087067,1.347064241908912,1.9073259323272413,0.19295003220155663,0.5126984007900226,0.36507702997188857,51300000,3232.1923478386066,3.570000000000977e-06,0.00011400885072149799,0.021099725924630948,0.00019423049137705725
4,12105,485531729,0.001489,0.00188,0,1000,-99999,99999,-99999,99999,True,1000,0.0016828120403890021,1.411339136306461,2.1249206395392064,0.1916520835960225,0.5162084538196544,0.31645890377749236,51300000,3232.1923478386066,1.6140000000003955e-05,-0.00021018266158021314,0.020299218837259186,0.00018450023711948132
5,12173,485077894,0.00188,0.002325,0,1000,-99999,99999,-99999,99999,True,1000,0.002095670620390999,1.4677559543102396,2.3253372225541384,0.19406118349765225,0.5266630081743303,0.2780457606588745,51300000,3232.1923478386066,2.882999999999698e-05,-0.0004591371986125897,0.02056668444945059,0.0001864083978651441
6,12648,494650253,0.002325,0.002835,0,1000,-99999,99999,-99999,99999,True,1000,0.0025741765339449643,1.5327986243712153,2.5779977902391265,0.1914363945623229,0.5276720446377452,0.2508039078213879,51300000,3232.1923478386066,2.5759999999996447e-05,-0.0002971679192525616,0.020371224459978493,0.00018113659749262112
7,14299,509659582,0.002835,0.003432,0,1000,-99999,99999,-99999,99999,True,1000,0.003126330889087789,1.5966061866750407,2.8332462499578015,0.19004268693706727,0.5307549856749315,0.2268859624068646,51300000,3232.1923478386066,6.24700000000125e-05,-8.693912374192331e-05,0.019152784923734137,0.00016016923403934906
8,16231,511208348,0.003432,0.00414,0,1000,-99999,99999,-99999,99999,True,1000,0.0037766616265919946,1.646050541329669,3.055727255286502,0.19374910619897634,0.5314844045579347,0.20260487311447317,51300000,3232.1923478386066,0.00010597999999995198,0.00048632451367245716,0.01765418934029468,0.00013857189024963604
9,18386,522868123,0.00414,0.005,0,1000,-99999,99999,-99999,99999,True,1000,0.004555861451256763,1.7105489251657264,3.346180625061608,0.19118783341155726,0.5443795803511067,0.18402703933801692,51300000,3232.1923478386066,0.00013726999999999365,0.00010268750003713572,0.01735901613059545,0.00012802107769964565
10,21104,533865578,0.005,0.006123,0,1000,-99999,99999,-99999,99999,True,1000,0.005538570927122174,1.8292243852449788,3.8540604451052745,0.19188431026912264,0.5368646107048474,0.1741527701681388,51300000,3232.1923478386066,0.0002617900000002407,0.0010381924012245502,0.015623126614227316,0.000107543845899933
11,25496,550309659,0.006123,0.007766,0,1000,-99999,99999,-99999,99999,True,1000,0.0068934092200559904,1.9999402388798773,4.615870511982903,0.19281699509684444,0.5376712174960179,0.16752437705875234,51300000,3232.1923478386066,0.0004734100000000777,0.0017811634567673044,0.014553843481252035,9.114685221920189e-05
12,31859,565279414,0.007766,0.010347,0,1000,-99999,99999,-99999,99999,True,1000,0.008946465953129977,2.243449586442615,5.817019807282171,0.19203372102013203,0.5331895553431983,0.1626611099507704,51300000,3232.1923478386066,0.0007377300000001303,0.001719497881445425,0.013046272603224354,7.309208977239154e-05
13,42592,569694585,0.010347,0.015154,0,1000,-99999,99999,-99999,99999,True,1000,0.012490688792719034,2.611562022385066,7.915536121783187,0.19089687485760257,0.5340210094089552,0.15861016918606297,51300000,3232.1923478386066,0.0013716999999971993,0.0031173203925939155,0.010630998633893022,5.1512193734579734e-05
14,66005,595186798,0.015154,0.027715,0,1000,-99999,99999,-99999,99999,True,1000,0.020201610933884055,3.273432765411462,12.501437293016116,0.18848648223749534,0.5313450600710298,0.15490834933925618,51300000,3232.1923478386066,0.0029963600000048507,0.008877440787252996,0.008686749531496112,3.381184596484129e-05
15,654894,645128606,0.027715,0.999994,0,1000,-99999,99999,-99999,99999,True,1000,0.07559411060931544,5.786627665014918,43.78557874440308,0.17836358251847823,0.5477250183450197,0.14897812758456644,51300000,3232.1923478386066,0.05149760999985265,0.04735030203383131,0.0031886163852667573,3.940186400382414e-06
