bin_index,events,expected_events,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,used_reconstructed_kinematics,n_injections,avg_X,avg_Q,avg_Q2,avg_Z,avg_PhPerp,avg_Y,exp_lumi [nb^-1],mc_lumi [nb^-1],injected_asymmetry,reconstructed_asymmetry,reconstructed_asymmetry_montecarlo_stderr,reconstructed_asymmetry_err
0,30051,28850457,0.001306,0.003268,0,1000,-99999,99999,-99999,99999,True,1000,0.0024252346549865204,1.0976126235780344,1.2215977078232467,0.20910196523605049,0.49282290960081326,0.6280162497372703,2860000,6734.229731080676,0.0,0.0004349077180066186,0.017744336710083873,0.00010236000670204094
1,33914,32492144,0.003268,0.005172,0,1000,-99999,99999,-99999,99999,True,1000,0.004200963239592193,1.241498108099468,1.5881775505809224,0.21477731950569284,0.5018816218975747,0.4655057758662039,2860000,6734.229731080676,4.589999999997511e-06,7.16455609020825e-05,0.013803191267023557,7.495316875528715e-05
2,35868,34292182,0.005172,0.007434,0,1000,-99999,99999,-99999,99999,True,1000,0.006275618024595321,1.3380306374373636,1.8807719104425145,0.21578018827930676,0.5032147562735008,0.3678553433187186,2860000,6734.229731080676,4.676000000001795e-05,0.0006793784303858978,0.011923654509840521,6.295870743705382e-05
3,37282,35456940,0.007434,0.010189,0,1000,-99999,99999,-99999,99999,True,1000,0.008768563987177957,1.422684820765737,2.1670769285466296,0.21753789623209455,0.4991730956439055,0.3029132619275781,2860000,6734.229731080676,0.0001031500000000489,-0.00013638348621694449,0.011180863623379413,5.790629109591432e-05
4,39091,36581718,0.010189,0.013595,0,1000,-99999,99999,-99999,99999,True,1000,0.01183675302329399,1.498489843828007,2.4552592471626205,0.21994460796035703,0.4970622970597983,0.2540253190903859,2860000,6734.229731080676,0.00025917000000005033,0.0003929930845470809,0.011063112288649528,5.595500388417362e-05
5,48809,38144198,0.013595,0.017915,0,1000,-99999,99999,-99999,99999,True,1000,0.0156856874163238,1.563059258741609,2.73748265268411,0.22161422715122828,0.4945661813562684,0.21377079447727038,2860000,6734.229731080676,0.0003567300000003871,0.0005912101696859952,0.010492450837816086,4.749271397162574e-05
6,62580,40029890,0.017915,0.02349,0,1000,-99999,99999,-99999,99999,True,1000,0.020593265795482506,1.6134213374567725,2.9883663814455317,0.22070746189879303,0.48912445437206475,0.17767079143007558,2860000,6734.229731080676,0.0005906099999996809,0.0008839745728838359,0.009715451546023941,3.8836958479391686e-05
7,80665,42108562,0.02349,0.031775,0,1000,-99999,99999,-99999,99999,True,1000,0.027273022614806797,1.7443544261554638,3.5492463578502145,0.22001453245826552,0.48253137361679493,0.15873328596960937,2860000,6734.229731080676,0.0010872599999984748,0.0017547795027726808,0.008355229220530329,2.9418179930986833e-05
8,115243,42889743,0.031775,0.048173,0,1000,-99999,99999,-99999,99999,True,1000,0.038918858300543785,2.0741792726815147,5.032826117711903,0.22036882061251925,0.47994418661779986,0.1578256118332982,2860000,6734.229731080676,0.001849579999996911,0.0019819760319831517,0.007183206874888301,2.1159777494273958e-05
9,206283,46308597,0.048173,0.1,0,1000,-99999,99999,-99999,99999,True,1000,0.06799807195746609,2.7010741524821675,8.6025037556232,0.2199515277407889,0.47714593470656663,0.1543574705333203,2860000,6734.229731080676,0.005366400000029278,0.005309204579067255,0.004731651304286522,1.041791987020975e-05
10,32803,4694765,0.1,0.112483,0,1000,-99999,99999,-99999,99999,True,1000,0.10592427600457212,3.4089995597692795,13.558084416064426,0.21909499280535505,0.480506051490813,0.15609066103308183,2860000,6734.229731080676,0.008005920000004855,0.0083860255665307,0.01267079416255528,6.995955750070718e-05
11,38957,4875694,0.112483,0.128967,0,1000,-99999,99999,-99999,99999,True,1000,0.12031581189269415,3.58664340567517,14.991395509123372,0.21550755218473414,0.47306869674843743,0.15195622611648776,2860000,6734.229731080676,0.009448949999982418,0.010350785147660437,0.011296595609802533,5.723409627221325e-05
12,64443,4955612,0.128967,0.151917,0,1000,-99999,99999,-99999,99999,True,1000,0.13970341017392032,3.882410775670303,17.61327442265464,0.21960953121191346,0.4786789405119891,0.1538104742745426,2860000,6734.229731080676,0.011334139999972865,0.011272728271385157,0.0100350387298356,3.953039719227062e-05
13,115224,5072919,0.151917,0.187309,0,1000,-99999,99999,-99999,99999,True,1000,0.16803927790422007,4.229542608256869,20.89444671259686,0.22333447228640216,0.47209890274122357,0.15153262288586936,2860000,6734.229731080676,0.015287380000011636,0.014429793618860855,0.008716074172066338,2.5677305221637493e-05
14,218501,5219522,0.187309,0.25499,0,1000,-99999,99999,-99999,99999,True,1000,0.2168430674699849,4.82112585585299,27.084280465434464,0.22372013692412795,0.4674430421371699,0.15244060893029215,2860000,6734.229731080676,0.020985829999979857,0.01743874367806615,0.006373905470474853,1.36357460321558e-05
15,447878,5672544,0.25499,0.999896,0,1000,-99999,99999,-99999,99999,True,1000,0.35842113742806475,5.990207693374135,41.709008853414424,0.23644781731218242,0.4522690365771389,0.14370193330304343,2860000,6734.229731080676,0.007783220000186518,0.007822102409196943,0.003731875553471326,5.576314861694096e-06
