bin_index,events,expected_events,X_min,X_max,Q_min,Q_max,Z_min,Z_max,PhPerp_min,PhPerp_max,Mh_min,Mh_max,used_reconstructed_kinematics,n_injections,avg_X,avg_Q,avg_Q2,avg_Z,avg_PhPerp,avg_Mh,avg_Y,exp_lumi [nb^-1],mc_lumi [nb^-1],injected_asymmetry,reconstructed_asymmetry,reconstructed_asymmetry_montecarlo_stderr,reconstructed_asymmetry_err
0,0,0,0.0001,0.0001585,0,9999,0,9999,0,0,0,9999,True,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51300000,35926.65838822302,0.0,0.0,0.0,
1,0,0,0.0001585,0.0002512,0,9999,0,9999,0,0,0,9999,True,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51300000,35926.65838822302,0.0,0.0,0.0,
2,179,1006477,0.0002512,0.0003981,0,9999,0,9999,0,0,0,9999,True,1000,0.00036610278859784196,1.0610217670006534,1.1278023686399454,0.3051760566153835,0.6563212625911459,0.6563212625911459,0.7715076985784486,51300000,35926.65838822302,0.10000000000000185,0.08557480294589864,0.06181269843488612,0.004620097998792655
3,2786,15722035,0.0003981,0.000631,0,9999,0,9999,0,0,0,9999,True,1000,0.0005412259760576714,1.1344976883725333,1.2983927678539253,0.33159261156482434,0.6755731525783149,0.6755731525783149,0.605203900906042,51300000,35926.65838822302,0.09999999999999651,0.077752943995528,0.022794107916267226,0.0004318491250398868
4,10817,61339999,0.000631,0.001,0,9999,0,9999,0,0,0,9999,True,1000,0.0008333693256581233,1.22570527370549,1.5352671664418773,0.36401935400791813,0.6858872645589467,0.6858872645589467,0.4651215512751136,51300000,35926.65838822302,0.10000000000001066,0.08541469176014233,0.01657831141149399,0.00015939947197683742
5,26969,152605122,0.001,0.0015849,0,9999,0,9999,0,0,0,9999,True,1000,0.0013067736499367715,1.3402199140490818,1.8652942709192677,0.38893396942176045,0.7074030346313489,0.7074030346313489,0.3599862727589273,51300000,35926.65838822302,0.0999999999999478,0.08196854261459537,0.012021977253052126,7.320546106382625e-05
6,49398,277321465,0.0015849,0.0025119,0,9999,0,9999,0,0,0,9999,True,1000,0.0020478975442849074,1.493492999941484,2.3669915316740617,0.4023448828115047,0.7391687734002429,0.7391687734002429,0.2911119599508803,51300000,35926.65838822302,0.09999999999999942,0.08584194271741315,0.011218474860467554,5.047532641962757e-05
7,90409,401867713,0.0025119,0.0039811,0,9999,0,9999,0,0,0,9999,True,1000,0.00321957811618655,1.699691093597965,3.1540350070589747,0.41286816833868845,0.7864320951636262,0.7864320951636262,0.246452135854106,51300000,35926.65838822302,0.10000000000005241,0.09569069751954327,0.00444213878210611,1.477359842662595e-05
8,174073,492798149,0.0039811,0.0063096,0,9999,0,9999,0,0,0,9999,True,1000,0.005079351814421245,1.9512946334502814,4.282539720814852,0.41848387542851584,0.8436169698818338,0.8436169698818338,0.2118655180177292,51300000,35926.65838822302,0.10000000000062433,0.09673677313878752,0.0035243416686898308,8.447190677817249e-06
9,277758,495975396,0.0063096,0.01,0,9999,0,9999,0,0,0,9999,True,1000,0.007988065988494563,2.3169287866261614,6.144976382470111,0.4218488702025477,0.9261311651308686,0.9261311651308686,0.1929232718636905,51300000,35926.65838822302,0.10000000000045194,0.09583764100638459,0.0035428318962880175,6.722290213409674e-06
10,355148,420712468,0.01,0.0158489,0,9999,0,9999,0,0,0,9999,True,1000,0.012571564717477064,2.78014857396471,8.955107489780277,0.42321024747557434,0.985643730427171,0.985643730427171,0.17851529319919085,51300000,35926.65838822302,0.09999999999930655,0.09465385515669246,0.0038706232964278156,6.494956093609602e-06
11,380547,308748207,0.0158489,0.0251189,0,9999,0,9999,0,0,0,9999,True,1000,0.01981806265062851,3.393056106640966,13.461671124173796,0.4226237455907434,1.025532519319235,1.025532519319235,0.1699155597023404,51300000,35926.65838822302,0.09999999999884086,0.09069255002184183,0.00390718326343487,6.333731235732613e-06
12,509180,204823968,0.0251189,0.0398107,0,9999,0,9999,0,0,0,9999,True,1000,0.031348422148410646,4.201400975934881,20.791386264117275,0.4194589855795257,1.045645922960911,1.045645922960911,0.165978006267244,51300000,35926.65838822302,0.09999999999939402,0.09735365128271158,0.0014500452761225734,2.032103830384789e-06
13,868091,126424473,0.0398107,0.0630957,0,9999,0,9999,0,0,0,9999,True,1000,0.04958121798993693,5.203382390451573,32.158625313250276,0.41355369113820917,1.051166854028987,1.051166854028987,0.16227528050000317,51300000,35926.65838822302,0.10000000000272845,0.09699535993375746,0.0013114821148957326,1.4076015795868814e-06
14,849398,74671942,0.0630957,0.1,0,9999,0,9999,0,0,0,9999,True,1000,0.07848066583792478,6.441079155884253,49.538579470129854,0.40813637629912713,1.0568806603559924,1.0568806603559924,0.15805935488084988,51300000,35926.65838822302,0.10000000000483447,0.0922869148145104,0.0015989919719844173,1.7349647931251796e-06
15,654335,43908592,0.1,0.1584893,0,9999,0,9999,0,0,0,9999,True,1000,0.12439459689770525,7.601623248483443,67.59298269494545,0.4021541594779781,0.9428177185648506,0.9428177185648506,0.13644000163352948,51300000,35926.65838822302,0.09999999999847962,0.07869250453693366,0.0019381134534775986,2.3959575580047976e-06
16,540378,24134445,0.1584893,0.2511886,0,9999,0,9999,0,0,0,9999,True,1000,0.19677066304696839,9.272588113114614,99.4015346768948,0.4070968567310736,0.9160044684420056,0.9160044684420056,0.12680966575752983,51300000,35926.65838822302,0.09999999999742945,0.07544926148017485,0.002004112436773688,2.726297550152169e-06
17,1212068,12952090,0.2511886,0.3981072,0,9999,0,9999,0,0,0,9999,True,1000,0.30982825007379733,11.129030637702906,138.4044787215192,0.41904545679439953,0.8865928891968407,0.8865928891968407,0.11216510852755153,51300000,35926.65838822302,0.09999999999774317,0.09702741309747392,0.000723015994879572,6.567263051751941e-07
18,838224,4295045,0.3981072,0.6309573,0,9999,0,9999,0,0,0,9999,True,1000,0.47450298821771464,13.42098959998163,195.74237080861002,0.4325203029094796,0.8592853991503278,0.8592853991503278,0.10327247393401603,51300000,35926.65838822302,0.10000000000204537,0.09828960816245493,0.0013338041651797502,1.4568405580660052e-06
